e.g. Golden Retriever,e.g. DOG,e.g. SHORT/MEDIUM,e.g. FALSE,e.g. MINUTES,e.g. 60,e.g. 75
Poodle,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Poodle (Miniature),DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Portuguese Pointer,DOG,SHORT,FALSE,MINUTES,75,135
Portuguese Sheepdog,DOG,MEDIUM,FALSE,MINUTES,75,135
Portuguese Water Dog,DOG,MEDIUM,TRUE,MINUTES,75,135
Pug,DOG,SHORT,FALSE,MINUTES,75,135
Pugalier,DOG,SHORT,FALSE,MINUTES,75,135
Rhodesian Ridgeback,DOG,SHORT,FALSE,MINUTES,75,135
Rottweiler,DOG,SHORT,FALSE,MINUTES,75,135
Saint Bernard,DOG,SHORT,FALSE,MINUTES,75,135
Samoyed,DOG,MEDIUM,TRUE,MINUTES,90,150
SchFALSEodle,DOG,MEDIUM,TRUE,MINUTES,75,135
Shetland Sheep dog,DOG,MEDIUM,TRUE,MINUTES,75,135
Shiba Inu,DOG,SHORT,TRUE,MINUTES,75,135
Shih-Poo,DOG,MEDIUM,FALSE,MINUTES,75,135
Shih Tzu,DOG,MEDIUM,FALSE,MINUTES,75,135
Singapore Special,DOG,SHORT,FALSE,MINUTES,75,135
Siberian Husky,DOG,SHORT,TRUE,MINUTES,75,135
Spanish Mastiff,DOG,SHORT,FALSE,MINUTES,75,135
Standard Schnauzer,DOG,MEDIUM,FALSE,MINUTES,75,135
Standard Poodle,DOG,MEDIUM/LONG,FALSE,MINUTES,90,150
Tibetan Mastiff,DOG,LONG,FALSE,MINUTES,75,135
Vizsla,DOG,SHORT,FALSE,MINUTES,75,135
Weimaraner,DOG,SHORT,FALSE,MINUTES,75,135
Welsh Springer Spaniel,DOG,SHORT/MEDIUM,FALSE,MINUTES,75,135
Westiepoo,DOG,MEDIUM,FALSE,MINUTES,75,135
Whippet,DOG,SHORT,FALSE,MINUTES,75,135
Yorkipoo,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Abyssinian,CAT,SHORT,TRUE,MINUTES,75,135
American Curl,CAT,LONG,TRUE,MINUTES,75,135
American Shorthair,CAT,SHORT,TRUE,MINUTES,75,135
Arabian Mau,CAT,SHORT,TRUE,MINUTES,75,135
Asian cat,CAT,SHORT,TRUE,MINUTES,75,135
Asian Semi-longhair,CAT,LONG,TRUE,MINUTES,75,135
Australian Mist,CAT,SHORT,TRUE,MINUTES,75,135
Balinese,CAT,LONG,TRUE,MINUTES,75,135
Bambino,CAT,HAIRLESS,TRUE,MINUTES,75,135
Bombay,CAT,SHORT,TRUE,MINUTES,75,135
British Shorthair,CAT,SHORT,TRUE,MINUTES,75,135
British longhair,CAT,MEDIUM,TRUE,MINUTES,75,135
Burmese,CAT,SHORT,TRUE,MINUTES,75,135
California Spangled,CAT,SHORT,TRUE,MINUTES,75,135
Cornish Rex,CAT,SHORT,TRUE,MINUTES,75,135
Colorpoint Shorthair,CAT,SHORT,TRUE,MINUTES,75,135
Cyprus,CAT,MEDIUM,TRUE,MINUTES,75,135
Devon Rex,CAT,SHORT,TRUE,MINUTES,75,135
Egyptian Mau,CAT,SHORT,TRUE,MINUTES,75,135
Exotic Shorthair,CAT,SHORT,TRUE,MINUTES,75,135
Exotic longhair,CAT,LONG,TRUE,MINUTES,75,135
European Burmese,CAT,SHORT,TRUE,MINUTES,75,135
Himalayan,CAT,LONG,TRUE,MINUTES,75,135
Japanese Bobtail,CAT,SHORT,TRUE,MINUTES,75,135
Javanese,CAT,MEDIUM,TRUE,MINUTES,75,135
Mix,CAT,SHORT,TRUE,MINUTES,75,135
Maine Coon,CAT,LONG,TRUE,MINUTES,75,135
Manx,CAT,MEDIUM,TRUE,MINUTES,75,135
Munchkin,CAT,SHORT/LONG,TRUE,MINUTES,75,135
Napoleon cat,CAT,LONG,TRUE,MINUTES,75,135
Norwegian Forest Cat,CAT,LONG,TRUE,MINUTES,75,135
Oriental,CAT,SHORT,TRUE,MINUTES,75,135
Persian,CAT,LONG/MEDIUM,TRUE,MINUTES,75,135
Ragamuffin,CAT,LONG,TRUE,MINUTES,75,135
Ragdoll,CAT,LONG,TRUE,MINUTES,75,135
Russian Blue,CAT,SHORT,TRUE,MINUTES,75,135
